,lower-words,in%texts
623,pu,100.0
624,puis,100.0
625,puisqu,100.0
626,puisque,100.0
627,père,100.0
628,qu,100.0
629,quand,100.0
630,quant,100.0
631,quarante,100.0
632,quartier,100.0
633,quatre,100.0
634,que,100.0
635,quel,100.0
636,quelle,100.0
637,quelqu,100.0
638,quelque,100.0
639,quelques,100.0
640,question,100.0
641,questions,100.0
642,qui,100.0
643,quinze,100.0
644,quitté,100.0
645,quoi,100.0
646,raide,100.0
647,raison,100.0
648,rappeler,100.0
649,rappelle,100.0
650,rapport,100.0
651,rarement,100.0
652,rasé,100.0
653,reconnu,100.0
654,regard,100.0
655,regardant,100.0
656,regarde,100.0
657,regarder,100.0
658,rejoindre,100.0
659,remercie,100.0
660,rencontre,100.0
661,rendre,100.0
662,rentre,100.0
663,rentrer,100.0
664,reste,100.0
665,rester,100.0
666,resté,100.0
667,retiré,100.0
668,retour,100.0
669,retrouver,100.0
670,revenait,100.0
671,revenir,100.0
672,revenu,100.0
673,reçu,100.0
674,rideau,100.0
675,ridicule,100.0
676,rien,100.0
677,rire,100.0
678,risque,100.0
679,robe,100.0
680,rouge,100.0
681,rouges,100.0
682,route,100.0
683,rue,100.0
684,rues,100.0
685,réfléchir,100.0
686,répondre,100.0
687,s,100.0
688,sa,100.0
689,saint,100.0
690,sais,100.0
691,sait,100.0
692,salle,100.0
693,sang,100.0
694,sans,100.0
695,sauf,100.0
696,savent,100.0
697,savez,100.0
698,savoir,100.0
699,scène,100.0
700,se,100.0
701,sec,100.0
702,second,100.0
703,seconde,100.0
704,semaine,100.0
705,semaines,100.0
706,semble,100.0
707,sens,100.0
708,sept,100.0
709,sera,100.0
710,serai,100.0
711,serait,100.0
712,serre,100.0
713,sert,100.0
714,service,100.0
715,servir,100.0
716,ses,100.0
717,seul,100.0
718,seule,100.0
719,seulement,100.0
720,seuls,100.0
721,si,100.0
722,signe,100.0
723,silence,100.0
724,simple,100.0
725,sinon,100.0
726,six,100.0
727,siège,100.0
728,soir,100.0
729,soirs,100.0
730,soirée,100.0
731,soit,100.0
732,soixante,100.0
733,soleil,100.0
734,solide,100.0
735,somme,100.0
736,sommeil,100.0
737,sommes,100.0
738,son,100.0
739,sonnerie,100.0
740,sont,100.0
741,sort,100.0
742,sorte,100.0
743,sortir,100.0
744,soudain,100.0
745,sourcils,100.0
746,souriant,100.0
747,sourire,100.0
748,sourit,100.0
749,sous,100.0
750,souvenir,100.0
751,souvent,100.0
752,su,100.0
753,sueur,100.0
754,suffit,100.0
755,suis,100.0
756,suite,100.0
757,suivi,100.0
758,suivre,100.0
759,sujet,100.0
760,sur,100.0
761,surtout,100.0
762,sûr,100.0
763,sœur,100.0
764,t,100.0
765,taches,100.0
