idno,author-name,author-gender,book-title,pub-year
rv1078,Pouy,male,ASec,1998
rv0001,Simenon,male,Ecluse,1933
rv0209,Viel,male,BlackNote,1998
rv0543,Vian,male,EcumeJours,1947
rv1259,BoilNarc,male,CelleQui,1952
rv1247,Daeninckx,male,Metropolice,1985
rv1182,Pouy,male,RoubignolesDestin,2001
rv1034,Japrisot,male,PassagerPluie,1992
rv0659,Ryck,male,ParisMourir,1969
rv0338,Delly,mixed,EsclaveReine,1910
rv0547,Queneau,male,Odile,1937
rv1185,Vargas,female,DeboutMorts,1995
rv0852,Proust,male,AmourSwannR1b,1913
rv0505,Giono,male,DeuxCavaliersOrage,1965
rv1059,Malet,male,CentVingtRueGare,1943
rv1267,BoilNarc,male,PorteLarge,1969
rv0778,Rolland,male,JeanChristophe08,1910
rv0560,Camus,male,PremierHomme,1960
rv1223,Malet,male,Sueur,1949
rv0521,Toussaint,male,Monsieur,1986
rv0680,Amila,male,LuneOmaha,1964
rv1188,Vargas,female,PeuPlusLoin,1996
rv0699,LeClezio,male,Desert,1980
rv0398,LeRouge,male,Conspiration2,1900
rv0065,Simenon,male,MaigretFantome,1964
rv0324,Colette,female,ClaudineSenVa,1903
rv0523,Manotti,male,CorpsNoir,2004
rv0673,Pennac,male,Malaussene2FeeCarabine,1987
rv0009,Simenon,male,NuitCarrefour,1931
rv0225,Bernanos,male,MauvaisReve,1950
rv0603,SouvAllain,male,GuepeRouge,1912
rv0127,Echenoz,male,Piano,2002
rv0386,LeRouge,male,ReineElephants,1906
rv0498,Tournier,male,GoutteOr,1985
rv0041,Simenon,male,MaigretAssises,1959
rv1049,Leroux,male,ChateauNoir,1914
rv0124,Echenoz,male,NousTrois,1992
rv1143,Leblanc,male,FormidableEvenement,1921
rv0219,Duras,female,MarinGibraltar,1952
rv1231,Echenoz,male,Cherokee,1983
rv1074,Manchette,male,PositionTireur,1981
rv0121,Echenoz,male,JeMenVais,1999
rv0157,Proust,male,GuermantesR3b,1920
rv0541,Vian,male,ArracheCoeur,1953
rv1253,BoilNarc,male,Louves,1955
rv0208,Audoux,female,Atelier,1920
rv0667,Ryck,male,Piege,1981
rv1053,Leroux,male,MachineAssassiner,1923
rv1015,Daeninckx,male,Meurtres,1984
rv0768,MduGard,male,Thibault7a,1936
rv0211,Audoux,female,DouceLumiere,1937
rv0212,Duras,female,Ravissement,1964
rv0390,LeRouge,male,EspionneLama,1905
rv1018,Daeninckx,male,NazisMetro,1996
rv0713,Colette,female,Seconde,1929
rv0580,SouvAllain,male,TrainPerdu,1912
rv1042,Leblanc,male,GentlemanCambrioleur,1907
rv0207,Audoux,female,VilleMoulin,1926
rv1144,Leblanc,male,CercleRouge,1917
